"","acti2","dianoc","epoch","sum","mean","sd","d1","d9","q1","q2","q3"
"130","W","Dia","16 15-30",39152,372.87619047619,321.993899107221,44,880.2,139,281,571
"131","W","Dia","16 30-45",46410,442,361.803442174381,47,1168.2,153,353,671
"132","W","Dia","16 45-60",31550,300.47619047619,260.500040426621,77.2,701.800000000001,115,201,428
"133","W","Dia","17 0-15",31938,304.171428571429,258.335294096305,43,654.2,87,230,487
"134","W","Dia","17 15-30",31191,297.057142857143,270.628891109757,44,683.6,101,201,472
"135","W","Dia","17 30-45",35929,342.180952380952,276.552984941138,84.6,761,143,247,456
"136","W","Dia","17 45-60",22411,213.438095238095,206.815921674023,33.8,428,83,148,255
"137","W","Dia","18 0-15",28974,275.942857142857,289.531744923905,37.4,666.800000000001,90,153,331
"138","W","Dia","18 15-30",41811,398.2,300.864312631765,84.4,801,153,353,571
"139","W","Dia","18 30-45",44385,422.714285714286,291.361053911232,98.6,826.6,159,377,629
"140","W","Dia","18 45-60",44839,427.038095238095,266.215388642699,142.6,801,230,353,609
"141","W","Dia","19 0-15",34493,328.504761904762,257.349064195872,47.8,625.400000000001,143,271,456
"142","W","Dia","19 15-30",48942,466.114285714286,371.002340711197,67.2,1183,177,353,629
"143","W","Dia","19 30-45",47176,449.295238095238,333.423181206058,81.4,1011,159,389,671
"144","W","Dia","19 45-60",38672,368.304761904762,292.892804091607,60.2,761,134,300,536
"145","W","Dia","20 0-15",37471,356.866666666667,268.817498381146,78.8,761,171,263,472
"146","W","Dia","20 15-30",55787,531.304761904762,335.13863732358,90,967.6,281,487,786
"147","W","Dia","20 30-45",40651,387.152380952381,298.919489448515,62,811,129,309,590
"148","W","Dia","20 45-60",40201,382.866666666667,281.486714629342,115,806.600000000001,201,300,487
"149","W","Dia","21 0-15",29980,285.52380952381,244.183021492789,71.8,593.8,108,183,415
"150","W","Dia","21 15-30",27433,261.266666666667,199.794185767921,46,571,115,177,402
"151","W","Dia","21 30-45",28764,273.942857142857,221.421579648565,77.2,582.4,115,177,389
"152","W","Dia","21 45-60",21721,206.866666666667,144.511981581158,64.8,377,120,165,255
"153","W","Dia","22 0-15",26256,250.057142857143,220.631864834207,52.8,601.4,94,171,341
"154","W","Dia","22 15-30",28304,304.344086021505,256.644928740742,62.8,649,124,188,456
"155","W","Dia","22 30-45",27674,307.488888888889,254.293038271515,69.8,671,105.75,223,461
"156","W","Dia","22 45-60",28745,319.388888888889,242.994275349614,70.1,651.2,124,259,479.25
"157","W","Dia","23 0-15",20451,227.233333333333,240.075365039557,26.4,504.6,71.5,129,351
"158","W","Dia","23 15-30",14945,166.055555555556,166.256898892837,36.6,416.3,65.25,104.5,192.5
"159","W","Dia","23 30-45",10832,120.355555555556,81.9594735577753,14.6,230.8,62,109.5,169.5
"160","W","Dia","23 45-60",16299,191.752941176471,216.87663301882,27,514.200000000001,62,104,230
"161","W","Noche","00 0-15",1880,125.333333333333,77.2700890815241,29.2,216,61.5,134,168
"162","W","Noche","00 15-30",2451,163.4,62.0158965795983,97.2,238,125,165,212
"163","W","Noche","00 30-45",2170,144.666666666667,92.8006054988457,59.6,217.4,74.5,115,194.5
"164","W","Noche","00 45-60",2725,181.666666666667,229.470404772961,20.4,490.6,31.5,59,288
"165","W","Noche","01 0-15",3684,263.142857142857,237.951467948616,0,465.4,11.25,276,389
"166","W","Noche","03 45-60",715,143,129.261363136863,10.4,269,26,171,209
"167","W","Noche","04 45-60",445,89,130.295817277455,0,235.2,0,2,153
"168","W","Noche","05 30-45",897,149.5,175.570783446449,0,324.5,20.75,124,174
"169","W","Noche","07 15-30",0,0,NA,0,0,0,0,0
"170","W","Noche","07 30-45",4878,406.5,246.226614025668,122.9,544.9,335.75,395.5,472
"171","W","Noche","08 30-45",2911,242.583333333333,336.781412338878,0,771.4,21,103.5,260.5
"172","W","Noche","08 45-60",0,0,NA,0,0,0,0,0
"173","W","Noche","09 45-60",507,101.4,129.221902168324,3.2,242.6,8,47,143
"174","W","Noche","21 30-45",3733,414.777777777778,188.894664944366,232,540.8,389,442,503
"175","W","Noche","21 45-60",10241,682.733333333333,269.763776734563,425.8,1050,479.5,649,922
"176","W","Noche","22 0-15",5003,333.533333333333,312.042320084647,26.8,820.6,92,255,428.5
"177","W","Noche","22 15-30",5790,386,256.796751203304,152.4,829.4,247,309,390
"178","W","Noche","22 30-45",7003,466.866666666667,272.323564550561,231.6,692.6,281.5,503,544.5
"179","W","Noche","22 45-60",2626,175.066666666667,132.272158104129,5.6,346.2,81.5,143,285.5
"180","W","Noche","23 0-15",4218,281.2,187.509694987448,123.6,543.8,138.5,223,366.5
"181","W","Noche","23 15-30",5681,270.52380952381,203.272629502257,76,536,153,216,309
"182","W","Noche","23 30-45",5259,175.3,184.852252278445,25.5,459.1,48.5,114,198
"183","W","Noche","23 45-60",6620,236.428571428571,273.061983001747,62.7,590,88.25,111.5,267.5
